Drug_Name,Drug_class,Drug_Pubchem_ID,Resistance_gene_class,Resistance_genes_involved,Bibliography 
Cefotaxime,Beta Lactam: Cephem,5742673,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Cefotaxime,Beta Lactam: Cephem,5742673,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Cefotaxime,Beta Lactam: Cephem,5742673,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Cefotaxime,Beta Lactam: Cephem,5742673,Beta Lactamase,Bla(CTX-M),PMID: 12111569
Cefoxitin,Beta Lactam: Cephem,441199,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Cefoxitin,Beta Lactam: Cephem,441199,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Cefoxitin,Beta Lactam: Cephem,441199,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Cefoxitin,Beta Lactam: Cephem,441199,Beta Lactamase,Bla(VIM-2),PMID: 15301681
Cefoxitin,Beta Lactam: Cephem,441199,Beta Lactamase,Bla(IBC-1),PMID: 15301681
Cefpirome,Beta Lactam: Cephem,5479539,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Cefpirome,Beta Lactam: Cephem,5479539,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Cefradine,Beta Lactam: Cephem,38103,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Cefradine,Beta Lactam: Cephem,38103,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Ceftazidime,Beta Lactam: Cephem,5481173,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Ceftazidime,Beta Lactam: Cephem,5481173,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Ceftazidime,Beta Lactam: Cephem,5481173,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Ceftazidime,Beta Lactam: Cephem,5481173,Horizontal Gene Transfer,Class 1 Integron,PMID: 26889395
Ceftiofur,Beta Lactam: Cephem,6328657,Beta Lactamase,Bla(CMY2),PMID: 16751500
Ceftriaxone,Beta Lactam: Cephem,5479530,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Ceftriaxone,Beta Lactam: Cephem,5479530,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Cefuroxime,Beta Lactam: Cephem,5479529,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Cethromycin,Polyketide: Macrolides,447451,Mutation,U2609C of 23S rRNA,PMID: 11698379
Cetrimide,Quaternary Ammonium Compounds,14250,Guanidinium exporter,sugE,PMID: 11948170
Cetyldimethylethyl ammonium,Quaternary Ammonium Compounds,31280,Guanidinium exporter,sugE,PMID: 11948170
Cetylpyridinium,Quaternary Ammonium Compounds,2683,Guanidinium exporter,sugE,PMID: 11948170
Chloramphenicol,Chloramphenicol,5959,chloramphenicol acetyltransferase,cat1,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,chloramphenicol acetyltransferase,cmlA,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,chloramphenicol acetyltransferase,catII,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,chloramphenicol acetyltransferase,catIII,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,chloramphenicol acetyltransferase,cml,PMID: 20374640
Chloramphenicol,Chloramphenicol,5959,Efflux pump,mdfA,PMID: 9079913
Chloramphenicol,Chloramphenicol,5959,Efflux pump,acrAB,PMID: 8550435
Chloramphenicol,Chloramphenicol,5959,Efflux pump,floR,PMID: 11101601
Chloramphenicol,Chloramphenicol,5959,Efflux pump,AcrEF,PMID: 10518736
Chloramphenicol,Chloramphenicol,5959,Efflux pump,ydhE,PMID: 9661020
Chloramphenicol,Chloramphenicol,5959,Transmembrane transporter,yidY,PMID: 11566977
Chloramphenicol,Chloramphenicol,5959,Efflux pump,yjiO,PMID: 11566977
Chloramphenicol,Chloramphenicol,5959,Resistance gene Regulator,marA,PMID: 8866468
Chloramphenicol,Chloramphenicol,5959,Resistance gene Regulator,marB,PMID: 8866468
Chloramphenicol,Chloramphenicol,5959,Repressor,marR,PMID: 8866468
Chlortetracycline,Polyketide: Tetracycline,54675777,negative regulation,LamB,PMID: 24412198
Chlortetracycline,Polyketide: Tetracycline,54675777,Up-regulation,TolC,PMID: 20718490
Chlortetracycline,Polyketide: Tetracycline,54675777,Down-regulation,OmpC,PMID: 20718490
Chlortetracycline,Polyketide: Tetracycline,54675777,Down-regulation,FadL,PMID: 20718490
Chlortetracycline,Polyketide: Tetracycline,54675777,Down-regulation,OmpT,PMID: 20718490
Chlortetracycline,Polyketide: Tetracycline,54675777,Down-regulation,OmpW,PMID: 20718490
Ciprofloxacin,Fluoroquinolone,2764,Mutations (D18E and S274F) in OmpC are responsible for antibiotic influx,OmpC,PMID: 29458656
Ciprofloxacin,Fluoroquinolone,2764,EnvZ/OmpR two-component system,OmpR,PMID: 29458656
Ciprofloxacin,Fluoroquinolone,2764,negative regulation,LamB,PMID: 24412198
Ciprofloxacin,Fluoroquinolone,2764,Efflux pump,acrAB,PMID: 11083655
Ciprofloxacin,Fluoroquinolone,2764,Horizontal Gene Transfer,Class 1 Integron,PMID: 26889395
Ciprofloxacin,Fluoroquinolone,2764,Beta Lactamase,CTX-M β-lactamases,PMID: 19402960 
Ciprofloxacin,Fluoroquinolone,2764,Efflux pump,Mutation in gyrA gene of Escherichia coli,PMID: 11083655
Ciprofloxacin,Fluoroquinolone,2764,Chromosomal mutations in the genes encoding subunits of DNA gyrase enzyme,gyrA-gyrB,PMID: 27227291
Ciprofloxacin,Fluoroquinolone,2764,Chromosomal mutations in the genes encoding subunits of topoisomerase IV enzyme,parC-parE,PMID: 27227291
Clarithromycin,Polyketide: Macrolides,84029,Two Component system,acrAB-TolC,PMID: 15328143
Clarithromycin,Polyketide: Macrolides,84029,Macrolide-specific efflux system,MacAB-TolC,PMID: 11544226
Co-trimoxazole,Drug Cocktail,358641,Horizontal Gene Transfer,Class 1 Integron,PMID: 26889395
Co-trimoxazole,Drug Cocktail,358641,Beta Lactamase,CTX-M β-lactamases,PMID: 19402960 
Colicin E7,Biocide,NA,Mutation,OmpF,PMID: 21314918
Colicin E7,Biocide,NA,Mutation,BtuB,PMID: 21314918
Colicin E7,Biocide,NA,Deletion,TolQ,PMID: 21314918
Colicin E7,Biocide,NA,Deletion,TolR,PMID: 21314918
Colicin E7,Biocide,NA,Deletion,TolA,PMID: 21314918
Colicin E7,Biocide,NA,Deletion,TolB,PMID: 21314918
Colicin M,Biocide,NA,Mutation,fhuA,PMID: 8244949
Crystal violet,Anthelminthic Drug,11057,Efflux pump,emrKY,PMID: 11566977
Crystal violet,Anthelminthic Drug,11057,Efflux pump,acrAB,PMID: 11566977
Crystal violet,Anthelminthic Drug,11057,Efflux pump,acrEF,PMID: 11566977
Crystal violet,Anthelminthic Drug,11057,Multidrug resistance (MDR) translocator,yhiUV,PMID: 11566977
Crystal violet,Anthelminthic Drug,11057,Efflux pump,emrE,PMID: 11566977
Crystal violet,Anthelminthic Drug,11057,Deletion,crp,PMID: 18503189
Crystal violet,Anthelminthic Drug,11057,Drug transporter,evgA,PMID: 12618449
Crystal violet,Anthelminthic Drug,11057,Drug transporter,yjdG,PMID: 12618449
Crystal violet,Anthelminthic Drug,11057,Drug transporter,narP,PMID: 12618449
Crystal violet,Anthelminthic Drug,11057,Drug transporter,yehT,PMID: 12618449
Crystal violet,Anthelminthic Drug,11057,Drug transporter,rstA,PMID: 12618449
Daunomycin,Anthracycline,30323,Efflux pump,mdfA,PMID: 9079913
Deoxycholate,Bile acid,222528,Efflux pump,emrKY,PMID: 11566977
Deoxycholate,Bile acid,222528,Efflux pump,emrAB,PMID: 11566977
Deoxycholate,Bile acid,222528,Multidrug resistance (MDR) translocator,ydhE,PMID: 9661020
Deoxycholate,Bile acid,222528,Efflux transmembrane transporter,yegMNOB,PMID: 11566977
Deoxycholate,Bile acid,222528,Efflux pump,acrAB,PMID: 11566977
Deoxycholate,Bile acid,222528,Efflux pump,acrEF,PMID: 11566977
Deoxycholate,Bile acid,222528,Multidrug resistance (MDR) translocator,acrD,PMID: 11566977
Deoxycholate,Bile acid,222528,Efflux pump,acrEF,PMID: 11566977
Deoxycholate,Bile acid,222528,Multidrug resistance (MDR) translocator,yhiUV,PMID: 11566977
Deoxycholate,Bile acid,222528,Transmembrane transporter,ydgFE,PMID: 11566977
Deoxycholate,Bile acid,222528,Drug transporter,evgA,PMID: 12618449
Deoxycholate,Bile acid,222528,Two Component system,baeRS,PMID: 12618449
Deoxycholate,Bile acid,222528,Two Component system,CpxRA,PMID: 12618449
Deoxycholate,Bile acid,222528,Drug transporter,yjdG,PMID: 12618449
Deoxycholate,Bile acid,222528,Resistance gene Regulator,ompR,PMID: 12618449
Deoxycholate,Bile acid,222528,Resistance gene Regulator,rcsB,PMID: 12618449
Deoxycholate,Bile acid,222528,Drug transporter,narP,PMID: 12618449
Deoxycholate,Bile acid,222528,Drug transporter,yehT,PMID: 12618449
Doripenem,Beta Lactam: Carbapenem ,73303,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Doripenem,Beta Lactam: Carbapenem ,73303,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Doxorubicin,Anthracycline,31703,Efflux pump,emrKY,PMID: 11566977
Doxorubicin,Anthracycline,31703,Multidrug resistance (MDR) translocator.,mdfA,PMID: 9079913
Doxorubicin,Anthracycline,31703,Multidrug resistance (MDR) translocator,ydhE,PMID: 9661020
Doxorubicin,Anthracycline,31703,Efflux pump,acrAB,PMID: 11566977
Doxorubicin,Anthracycline,31703,Efflux pump,acrEF,PMID: 11566977
Doxorubicin,Anthracycline,31703,Multidrug resistance (MDR) translocator,yhiUV,PMID: 11566977
Doxorubicin,Anthracycline,31703,Drug transporter,evgA,PMID: 12618449
Doxorubicin,Anthracycline,31703,Drug transporter,narL,PMID: 12618449
Enoxacin,Fluoroquinolone,3229,Multidrug resistance (MDR) translocator,ydhE,PMID: 9661020
Enoxacin,Fluoroquinolone,3229,Transmembrane transporter,yceL,PMID: 11566977
Enoxacin,Fluoroquinolone,3229,Efflux pump,acrAB,PMID: 11566977
Enoxacin,Fluoroquinolone,3229,Efflux pump,acrEF,PMID: 11566977
Ertapenem,Beta Lactam: Carbapenem ,150610,Beta Lactamase,Bla(CTX-M-15),PMID: 22252797
Ertapenem,Beta Lactam: Carbapenem ,150610,Beta Lactamase,Bla(CMY-6),PMID: 22252797
Ertapenem,Beta Lactam: Carbapenem ,150610,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Ertapenem,Beta Lactam: Carbapenem ,150610,structural changes,ompR,PMID: 28264855
Ertapenem,Beta Lactam: Carbapenem ,150610,mutation,marR,PMID: 28264855
Ertapenem,Beta Lactam: Carbapenem ,150610,16S rRNA methylase,armA,PMID: 22252797
Erythromycin,Polyketide: Macrolides,12560,Efflux pump,mdfA,PMID: 9079913
Erythromycin,Polyketide: Macrolides,12560,Efflux pump,EmrE protein,PMID: 9710669
Erythromycin,Polyketide: Macrolides,12560,Mutation,Mutations in the tentacles of L4 and L22 proteins of Escherichia coli’s larger ribosomal subunit confer macrolide resistance,PMID: 17956547
Erythromycin,Polyketide: Macrolides,12560,Two Component system,acrAB-TolC,PMID: 15328143
Erythromycin,Polyketide: Macrolides,12560,Efflux Pump,acrEF,PMID: 10518736
Erythromycin,Polyketide: Macrolides,12560,Macrolide-specific efflux system,macAB-TolC,PMID: 11544226
Erythromycin,Polyketide: Macrolides,12560,Efflux Pump,emrKY,PMID: 11566977
Erythromycin,Polyketide: Macrolides,12560,Multidrug resistance (MDR) translocator,yhiUV,PMID: 11566977
Erythromycin,Polyketide: Macrolides,12560,Deletion,crp,PMID: 18503189
Erythromycin,Polyketide: Macrolides,12560,Drug transporter,evgA,PMID: 12618449
Erythromycin,Polyketide: Macrolides,12560,Drug transporter,yjdG,PMID: 12618449
Ethidium bromide,Trypanocidal agent,14710,Efflux Pump,emrKY,PMID: 11566977
Ethidium bromide,Trypanocidal agent,14710,Multidrug resistance (MDR) translocator.,mdfA,PMID: 9079913
Ethidium bromide,Trypanocidal agent,14710,Multidrug resistance (MDR) translocator,ydhE,PMID: 9661020
Ethidium bromide,Trypanocidal agent,14710,Multidrug resistance (MDR) translocator,yjiO,PMID: 11566977
Ethidium bromide,Trypanocidal agent,14710,Efflux Pump,acrAB,PMID: 11566977
Ethidium bromide,Trypanocidal agent,14710,Efflux Pump,acrEF,PMID: 11566977
Ethidium bromide,Trypanocidal agent,14710,Multidrug resistance (MDR) translocator,yhiUV,PMID: 11566977
Ethidium bromide,Trypanocidal agent,14710,Efflux Pump,emrE,PMID: 11566977
Fidaxomicin,Polyketide: Macrolides,10034073,Macrolide-specific efflux system,macAB-TolC,PMID: 11544226
Fidaxomicin,Polyketide: Macrolides,10034073,Mutation,rpoC,PMID: 24843001
Florfenicol,Florfenicol,114811,Efflux Pump,floR,PMID: 15251195
Fosfomycin,Fosfomycin,446987,Efflux Pump,emrKY,PMID: 11566977
Fosfomycin,Fosfomycin,446987,Efflux Pump,bcr,PMID: 11566977
Fosfomycin,Fosfomycin,446987,Multidrug resistance (MDR) translocator,ydhE,PMID: 9661020
Fosfomycin,Fosfomycin,446987,Efflux transmembrane transporter,yegMNOB,PMID: 11566977
Fosfomycin,Fosfomycin,446987,Transmembrane transporter,yceE,PMID: 11566977
Fosfomycin,Fosfomycin,446987,Multidrug resistance (MDR) translocator,acrD,PMID: 11566977
Fosfomycin,Fosfomycin,446987,Drug transporter,cusAB,PMID: 11566977
Fosfomycin,Fosfomycin,446987,Transmembrane transporter,ydgFE,PMID: 11566977
Fosfomycin,Fosfomycin,446987,Drug transporter,ompR,PMID: 12618449
Fosfomycin,Fosfomycin,446987,Drug transporter,rcsB,PMID: 12618449
Fosfomycin,Fosfomycin,446987,Drug transporter,yehT,PMID: 12618449
Fosfomycin,Fosfomycin,446987,Drug transporter,citB,PMID: 12618449
Fosfomycin,Fosfomycin,446987,Drug transporter,torR,PMID: 12618449
Fosfomycin,Fosfomycin,446987,Drug transporter,rstA,PMID: 12618449
Fosmidomycin,Organophosphonates,572,Multidrug resistance (MDR) translocator.,fsr,PMID: 8917080
Fosmidomycin,Organophosphonates,572,Allele with the S222T mutation alters the fosmidomy-cin-binding site of Dxr,dxr,PMID: 26124156
Fosmidomycin,Organophosphonates,572,Efflux Pump/ Potassium antipoter system,rosB,PMID: 25932050
Gentamicin,Aminoglycoside,3467,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 19501867
Gentamicin,Aminoglycoside,3467,Aminoglycoside modifying enzymes,ant(2”)-I (also known aadB),PMID: 21856840
Gentamicin,Aminoglycoside,3467,Beta Lactamase,CTX-M β-lactamases,PMID: 19402960 
Gentamicin,Aminoglycoside,3467,Multidrug resistance (MDR) translocator,acrD,PMID: 10692383 
Hygromycin B,Aminoglycoside,35766,Aminoglycoside modifying enzymes,APH(4)-Ia,PMID: 21084294
Hygromycin B,Aminoglycoside,35766,Multidrug resistance (MDR) translocator,acrD,PMID: 10692383 
Imipenem,Beta Lactam: Carbapenem ,104838,Beta Lactamase,Bla(CTX-M-15),PMID: 22252797
Imipenem,Beta Lactam: Carbapenem ,104838,Beta Lactamase,Bla(CMY-6),PMID: 22252797
Imipenem,Beta Lactam: Carbapenem ,104838,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Imipenem,Beta Lactam: Carbapenem ,104838,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Imipenem,Beta Lactam: Carbapenem ,104838,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Imipenem,Beta Lactam: Carbapenem ,104838,16S rRNA methylase,armA,PMID: 22252797
Kanamycin,Aminoglycoside,6032,Efflux pump,mdfA,PMID: 9079913
Kanamycin,Aminoglycoside,6032,Aminoglycoside modifying enzymes,aph(3′)-Ia,PMID: 14506033
Kanamycin,Aminoglycoside,6032,Aminoglycoside modifying enzymes,aph(3′)-Iia,PMID: 14506033
Kanamycin,Aminoglycoside,6032,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 19501867
Kanamycin,Aminoglycoside,6032,Aminoglycoside modifying enzymes,ant(2”)-I (also known aadB),PMID: 21856840
Kanamycin,Aminoglycoside,6032,Down-regulation,OmpW,PMID: 25940639
Kanamycin,Aminoglycoside,6032,Down-regulation,MipA,PMID: 25940639
Kanamycin,Aminoglycoside,6032,Down-regulation,OmpA,PMID: 25940639
Kanamycin,Aminoglycoside,6032,Down-regulation,FadL,PMID: 25940639
Kanamycin,Aminoglycoside,6032,Up-regulation,Tsx,PMID: 25940639
Kanamycin,Aminoglycoside,6032,Up-regulation,TolC,PMID: 25940639
Kanamycin,Aminoglycoside,6032,Up-regulation,OstA,PMID: 25940639
Kanamycin,Aminoglycoside,6032,Multidrug resistance (MDR) translocator.,bcr,PMID: 11566977
Kanamycin,Aminoglycoside,6032,Multidrug resistance (MDR) translocator,acrD,PMID: 11566977
Kanamycin,Aminoglycoside,6032,Catalase-peroxidase,katG,PMID: 29732452
Kanamycin,Aminoglycoside,6032,Two Component system,cpxRA,PMID: 12618449
Kanamycin,Aminoglycoside,6032,Drug transporter,rcsB,PMID: 12618449
Kanamycin,Aminoglycoside,6032,Drug transporter,fimZ,PMID: 12618449
Kanamycin,Aminoglycoside,6032,Drug transporter,kdpE,PMID: 12618449
Kanamycin,Aminoglycoside,6032,Drug transporter,narL,PMID: 12618449
Kanamycin,Aminoglycoside,6032,Drug transporter,yedW,PMID: 12618449
Kasugamycin,Aminoglycoside,65174,Inactivation,ksgA,PMID: 25932050
Kirromycin,Polyketide: Elfamycins,135484176,Genes code for EF-Tu-specific inhibitor,tufA,PMID: 7001448
Kirromycin,Polyketide: Elfamycins,135484176,Genes code for EF-Tu-specific inhibitor,tufB,PMID: 7001448
Linezolid,Oxazolidinone,441401,Mutations in genes encoding the domain V of the 23S rRNA and/or the ribosomal proteins L3 and L4 (rplC and rplD  respectively)  and methylation of A2503 (E. Coli numbering) in the 23S rRNA mediated by the Cfr enzyme.,rplC,PMID: 27227291
Linezolid,Oxazolidinone,441401,Mutations in genes encoding the domain V of the 23S rRNA and/or the ribosomal proteins L3 and L4 (rplC and rplD  respectively)  and methylation of A2503 (E. Coli numbering) in the 23S rRNA mediated by the Cfr enzyme.,rplD,PMID: 27227291
Meropenem,Beta Lactam: Carbapenem ,441130,Beta Lactamase,Bla(CTX-M-15),PMID: 22252797
Meropenem,Beta Lactam: Carbapenem ,441130,Beta Lactamase,Bla(CMY-6),PMID: 22252797
Meropenem,Beta Lactam: Carbapenem ,441130,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Meropenem,Beta Lactam: Carbapenem ,441130,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Meropenem,Beta Lactam: Carbapenem ,441130,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Meropenem,Beta Lactam: Carbapenem ,441130,16S rRNA methylase,armA,PMID: 22252797
Methylnitronitrosoguanidine,Alkylating agent,135436526,IMP,ada+,PMID: 6092060
Methylnitrosourea,Alkylating agent,12699,IMP,ada+,PMID: 6092060
Microcin 25,Biocide,NA,Inactivation,FhuA,PMID: 8244949
Minocycline,Polyketide: Tetracycline,54675783,Efflux pump,yhiV,PMID: 21048014
Minocycline,Polyketide: Tetracycline,54675783,Efflux pump,acrAB,PMID: 11566977
Minocycline,Polyketide: Tetracycline,54675783,Efflux pump,acrEF,PMID: 11566977
Mitomycin C,Antineoplastic agent,5746,Efflux pump,mdfA,PMID: 11244065
Mitomycin C,Antineoplastic agent,5746,Inhibitor of DNA gyrase,gyrl,PMID: 11244065
Mitomycin C,Antineoplastic agent,5746,Activates Efflux pumps (it possess 50% identical similarity in amino acids to SoxS and MarA  also activates few of SoxS and MarA dependent activation genes),rob,PMID: 11244065
Mitomycin C,Antineoplastic agent,5746,Transcriptional regulator,SdiA,PMID: 11244065
Morpholinepropanesulfonic acid,Buffer,70807,Arginine decarboxylase,adiA,PMID: 7608084
Morpholinepropanesulfonic acid,Buffer,70807,Glutamate decarboxylase,gadA,PMID: 19942657
Morpholinepropanesulfonic acid,Buffer,70807,Glutamate decarboxylase,gadB,PMID: 19942657
Morpholinepropanesulfonic acid,Buffer,70807,Glutamate decarboxylase,gadC,PMID: 19942657
Morpholinepropanesulfonic acid,Buffer,70807,Regulon,gadE,PMID: 19942657
Morpholinepropanesulfonic acid,Buffer,70807,Regulon,rpoS,PMID: 19942657
Morpholinepropanesulfonic acid,Buffer,70807,Regulon,ydeP,PMID: 12694615
Morpholinepropanesulfonic acid,Buffer,70807,Regulon,ydeO,PMID: 12694615
Morpholinepropanesulfonic acid,Buffer,70807,Regulon Inactivation,rpoN,PMID: 19942657
Morpholinepropanesulfonic acid,Buffer,70807,Regulon,gadX,PMID: 14617649
Morpholinepropanesulfonic acid,Buffer,70807,When gadX is absent,gadW,PMID: 12446650
Morpholinepropanesulfonic acid,Buffer,70807,negative regulation with the help of gadX  inhibits resistance,gadW,PMID: 12446650
Morpholinoethanesulfonic acid,Buffer,78165,Arginine decarboxylase,adiA,PMID: 7608084
Moxalactam,Beta Lactam: Cephem,47499,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Moxalactam,Beta Lactam: Cephem,47499,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Mupirocin(pseudomonic acid),Carboxylic acid,446596,Mutation,ileS,PMID: 7929087
Myxopyronin,Alpha-pyrone,136669146,Mutation,rpoC,PMID: 24843001
Nalidixic Acid,Quinolone,4421,Horizontal Gene Transfer,Integron 1,PMID: 26889395
Nalidixic Acid,Quinolone,4421,Efflux pump/ Multi component system,EmrAB operon,PMID: 9710669
Nalidixic Acid,Quinolone,4421,Efflux pump,acrAB,PMID: 8550435
Nalidixic Acid,Quinolone,4421,Efflux pump,marA,PMID: 21048014
Nalidixic Acid,Quinolone,4421,Efflux pump,emrB,PMID: 1409590
